L,H,E,nu,F,u_max,sigma_vm_max
8.620580924399943168e-01,9.837385207529980580e-02,9.176181897167913818e+10,3.374314365290806972e-01,1.774611199625513336e+03,4.295627009070352565e-05,1.104799788811940001e+06
1.342234091621576919e+00,1.687961637712061258e-01,1.797353753125999146e+11,2.938386258584193000e-01,2.643157888640265355e+03,2.555837497987370848e-05,8.198405064591633854e+05
1.992052623402537304e+00,1.511896215468536142e-01,1.840493820365035706e+11,3.402553969219231922e-01,4.044154263032026392e+03,1.556255384158037236e-04,2.318703110992507543e+06
7.777690174303513171e-01,1.343256100606358416e-01,8.426518202403628540e+10,3.152922126563998395e-01,4.799072426845149494e+03,3.883892964674156916e-05,1.478862745626796503e+06
1.269098096450167024e+00,1.149458739301650878e-01,7.501798519854284668e+10,3.459774522329219781e-01,9.635120785857145620e+02,5.491747492910882658e-05,6.368615216958575184e+05
5.616186399572704602e-01,8.690999172574077891e-02,7.917426074857354736e+10,2.955117842411762452e-01,2.822395105657005843e+03,3.393845542941319578e-05,1.431460013597778743e+06
9.688549235428758344e-01,5.764407238623291130e-02,8.562405155489173889e+10,2.884504377989928203e-01,7.723780287194125549e+02,1.291490254550133206e-04,1.271510246570948279e+06
1.547284588414870043e+00,8.105308122872180443e-02,1.122900196297093811e+11,2.894125777178097603e-01,2.374743348811165561e+03,4.240755069578758469e-04,3.043676662403965835e+06
5.024910615122007984e-01,6.681055564980463435e-02,1.907870389237229309e+11,2.501233062511908356e-01,2.786753101157938090e+03,2.222215085208784202e-05,1.992624447290490381e+06
1.234253009760812203e+00,9.996412415159568188e-02,1.303857828205029602e+11,3.280581137526584201e-01,4.285416677967304167e+03,1.958989366741808861e-04,3.429218811262605246e+06
8.905228151228750111e-01,9.837356614515949116e-02,1.039475994239665833e+11,2.979863400551064911e-01,3.574662609464658090e+03,8.659402577966792878e-05,2.133407392677216325e+06
8.423793131951308188e-01,9.961036130823000545e-02,2.002538464624810791e+11,2.548569289846958075e-01,2.573463223578048201e+03,2.734720548604003954e-05,1.367003917149072513e+06
1.567337062395166791e+00,7.256810173362111815e-02,7.663236280076745605e+10,2.638205371638530639e-01,4.634704370888072845e+03,1.682140114955186800e-03,6.959818615722280927e+06
5.138896727316850654e-01,7.824829622170277610e-02,7.437969180623023987e+10,2.610629467562203265e-01,3.290671789827333214e+03,4.517188654351202831e-05,1.809141906600548187e+06
8.624583631086286672e-01,1.353818075646015529e-01,1.526273535872576599e+11,3.349435333089778588e-01,5.213362681034326442e+02,3.020453001048993449e-06,1.789118980843067984e+05
1.780054189013550170e+00,1.428678629640461328e-01,9.278408805469406128e+10,3.272937388135284120e-01,4.349711938057635962e+03,2.868192219389585369e-04,2.449568053941974416e+06
8.813952256312359568e-01,1.878190521354021758e-01,1.336240402418121033e+11,3.103424454333321147e-01,4.930922901279396683e+03,1.376636731725029056e-05,9.061624711972372606e+05
